"Response number","In hoeverre komt de aangeboden stof per onderdeel overeen met je verwachtingen?","Hoe ervaar je de studiebelasting per onderdeel?","In hoeverre is het onderlinge verband voldoende helder?","Wat vind je goed aan de Minor tot nu toe?","Wat is voor verbetering vatbaar? Onderscheid dit naar: (1) Eigen participatie, (2) Docenten, (3) Stof en activiteiten","Wat ontbreekt er en moet alsnog toegevoegd worden voor de einddatum?","Welke bijdrage ga jij de komende tijd leveren om deze minor voor iedereen tot een succes te maken?"
1,"De aangeboden stof spreekt mij erg aan en komt wat dat betreft overeen met mijn verwachtingen. Er is voldoende aandacht voor techniek en IT, en de toepassing van nieuwe business modellen in de praktijk (dmv bedrijfsbezoek)","De studiebelasting is nog erg onduidelijk, omdat er geen concrete beoordelingscriteria aanwezig zijn. De studiebelasting die tot nu toe ervaren wordt is vrij hoog, maar dat is wat mij betreft niet zo&#039;n probleem. Ik kan me wel voorstellen dat je geen tijd hebt om een bijbaan naast deze minor te nemen. Dit had vóór de minor beter gecommuniceerd kunnen worden.","Het verband tussen de verschillende onderdelen is nog niet helemaal duidelijk, omdat ik tot heden nog geen samensmelting heb ervaren van de verschillende onderdelen.","Ik wil mijn complimenten geven aan de oprichters van deze minor dat ze zoveel bedrijfsbezoeken hebben kunnen realiseren. Deze bedrijfsbezoeken geven een goed zicht op de praktijk en naar mijn mening bedrijfsbezoeken de beste manier om in deze fase van de studie dingen bij te leren door in aanraking te komen met de praktijk.","Aangezien dit de eerste keer is dat deze minor wordt georganiseerd zie ik nog vrij veel punten van verbetering. 

1: De eigen participatie en de verwachtingen zijn vrij hoog. Dit is niet erg, maar dit had van te voren beter gecommuniceerd kunnen worden. Ik vind het persoonlijk erg jammer dat er zo weinig groepsprojecten in deze minor zijn geïmplementeerd.

2) De samenstelling van de groep docenten is voor verbetering vatbaar. Op dit moment hebben wij drie technische docenten. Dit is terug te zien in de wijze van communicatie, deze verloopt bij wijlen vrij moeizaam en vaak lijken de zorgen van de leerlingen niet begrepen te worden. Er zou een docent aan de groep toegevoegd kunnen worden die in staat is om op deze zorgen in te spelen. Verder is te zien dat Frans Mauer geen echte docent is. Het lijkt dat hij het moeilijk heeft om de stof duidelijk en goed over te brengen op de studenten.

3) De bedrijfsbezoeken zijn echt top en voegen veel waarde toe aan de minor. Door de bedrijfsbezoeken wordt er ook een extra dimensie toegevoegd aan het project. De sessies in het SmartLab zijn van afwisselende kwaliteit. De sessies waar mij met bepaalde software leren werken zoals RStudio, voorlopen momenteel heel erg rommelig. Dit komt omdat deze lessen niet goed voorbereidt zijn waardoor de studenten meer dan de helft van de les bezig zijn met het installeren van programma&#039;s en het aanmaken van accounts etc. De lessen zouden efficiënter ingevuld kunnen worden door de studenten deze zaken voor de les te laten regelen.","Heldere en duidelijke beoordelingscriteria per module (SmartStart, SmartTech en het project) en een overzicht van de in te leveren beroepsproducten en beoordelingsmomenten. Op deze manier is de studielast ook helderder voor de studenten.","Ik probeer zoveel mogelijk feedback te geven waar dat mogelijk is om deze en de hier opvolgende minoren tot een succes te brengen. Dit doe ik, omdat deze minor heel erg relevant is voor o.a. bedrijfskundige en bedrijfseconomen. Wel denk ik dat de minor minder relevant is voor IT- en informatica studenten."
2,"gedeeltelijk, dit komt denk ik doordat de informatie die ik heb gelezen via Kies op maat niet helemaal aangeeft wat er verwacht wordt van de student","voldoende op dit moment, maar dat komt omdat ik geen project heb. Ik denk dat de studiebelasting voor de mensen met project vrij hoog is","Het onderlinge verband tussen de courses vind ik nog wat vaag, omdat er totaal verschillende onderwerpen behandeld worden. Het enige duidelijke is dat het met Smart Industry te maken heeft","de verschillende bedrijfsbezoeken, en dan het niet alleen productiebedrijven zijn spreekt mij erg aan","(1) Beter de planning volgen en deadlines in de gaten houden. Verder gewoon doorgaan hoe ik bezig was.
(2) Wellicht iets meer duidelijkheid over wat er verwacht wordt van de studenten/professionals. Vaak onduidelijk wat er nou wel en niet moet. Het enthousiasme dat de docenten laten zien is mooi om te zien.
(3) Toch iets meer duidelijkheid over wat er verwacht wordt bij de verschillende opdrachten. er is op dit moment niet heel veel overzicht",Niks,"de colleges met dezelfde instelling blijven volgen en andere professionals zoveel mogelijk helpen tijdens de lessen en workshop als ik dat kan."
3,"Een klein beetje voornamelijk het onderdeel informatica actief voldoet aan mijn verwachting.","Te veel voor het aantal studie punten voornamelijk de zelfstandige opdracht. Deze druk is te hoog naast de losse opdrachten die gedaan worden en nog de zelfstudie.","Dit is goed helder er worden goede verbanden gelegd.","De bedrijfsbezoeken zijn leuk en informatief.","Er zijn veel bedrijfsbezoeken waarvan een aantal nier goed bereikbaar zijn. 
Activiteiten die gedaan moeten worden moet of per mail gestuurd worden of via de activiteiten kalender maar niet via beide zodat je het zelf maar bij elkaar moet plakken.
Opdrachten dienen duidelijker geformuleerd te worden.","Alle activiteiten via de activiteiten kalender laten lopen.","Kennis en ervaringen delen."
4,"De aangeboden stof komt voldoende overeen.","Per onderdeel is de belasting oke. Alleen iets teveel onderdelen",Helder,"Enthousiasme van de leraren en de vele bezoeken van en aan externe partijen","3: Iets duidelijkere lijn","Uitleg over patenten","Zoveel mogelijk andere studenten helpen op vlakken waarin ik meer kennis heb dan zij"
5,"1: De aangeboden stof komt vrij overeen met mijn verwachtingen. Ik heb eerder deelgenomen aan een data-analyse workshop via Witek en ik vind het niveau goed.

2: De technology lessen komen niet overeen met mijn verwachtingen, maar in positieve zin. Ik leer naar mijn gevoel meer dan ik me van te voren kon inbeelden. Ik leer vooral hoe groot het vakgebied is en wat er allemaal bij komt kijken.

3: De Informatica Actief cursus idem.

4: geen project

5: De bedrijfsbezoeken overtreffen mijn verwachtingen. Het is ontzettend leuk om bij de bedrijven langs te gaan. Door het te zien heb je een betere voorstelling van hoe de verschillende concepten terugkomen in de praktijk en hoe elk bedrijf invulling geeft aan het hoofdonderwerp.","1: Soms te hoog. De opdrachten zijn leuk en je leert ontzettend veel, maar soms kost het veel tijd om de essays in elkaar te zetten omdat bepaalde technieken en programma&#039;s nog nieuw zijn.
2: Prima en flexibel
3: Prima
4: Prima
5: Prima
De onderdelen zijn op zichzelf niet","Het onderlinge verband is naar mijn idee niet voldoende helder. De rode draad is natuurlijk Smart Industry, maak-industrie en de daarmee verband houdende thema&#039;s. Maar de relatie tussen bijvoorbeeld een bedrijfsbezoek bij de roboticalab, 3D printing en je eigen project is niet altijd helder. Ik weet niet in hoeverre dat mogelijk is maar het lijkt me juist een goed idee dat een student vanuit een project bekijkt welke kennis en tools benodigd zijn en er dan mee bezig zijn.","1. De boeiende en inspirerende bedrijfsbezoeken.
2. De kennismaking met verschillende concepten, tools en mogelijkheden
3. We hebben een leuke groep.
4. De docenten zijn zelf vaardig en kunnen vanuit eigen ervaring vertellen.
5. Ik heb wel het gevoel dat ik inzichten verwerf waar ik straks iets aan heb.","1:
- Ik zou per week proactiever kunnen zijn.
- Meer samenwerken met elkaar, bijvoorbeeld met een groep in de bibliotheek zitten.
- Het werk beter plannen en bijhouden.

2.De docenten kunnen naar mijn mening soms wat meer sturen en persoonlijker met de studenten in gesprek. Nu is het vrij klassikaal en per 4 of 5 mensen worden gesprekken gevoerd over de projecten terwijl de projecten groot genoeg zouden kunnen zijn voor een afstudeer of stageopdracht.



3. Door grote hoeveelheid deadlines op verschillende tijdstippen en verschillende dagen is het onoverzichtelijk wanneer wat ingeleverd moet worden. Met name op het moment dat deadlines verschuiven of uitgesteld worden.","Een sessie waarin wordt gesproken over samenwerking. Veel studenten maken nog geen gebruik van hun teamleden. Wellicht een soort bespreekmoment waarin we de minor gestructureerd evalueren.","Ik wil meer mee  kunnen denken bij de andere studenten en bijv. als extra projectleider optreden."
6,"Smart Start en onderzoek / data-analyse (Witek ten Hove)
Had hiervoor niet echt verwachtingen, dus lastig om hierover iets te zeggen.

Smart Technology Lessons inclusief Robotica, Arduino IoT Workshop en 3D printing. (Franz Maurer)
Komt wel redelijk overeen denk ik. Ik heb me van tevoren niet veel verwachtingen gesteld, maar de opdrachten voor thuis zijn prima. De aanvullende onderdelen (beurs in Veldhoven over 3D printing, workshop van Adri Wischmann van pas) hebben denk ik meer potentie dan er nu uit gehaald is.

Smart Connection - Informatica Actief (Deny Smeets)
In zoverre dat het webcolleges zijn komt het overeen met de verwachtingen, maar verder vind ik het hele Smart Connection - ook door het ontbreken van een Moodle-pagina voor dit onderdeel - niet het hoogtepunt van het traject. Ik heb er weinig zicht op wat na Informatica Actief nog komt.

Project
Het was me van tevoren niet helemaal duidelijk dat er zo&#039;n uitgebreid project - letterlijk een halve stage - in de minor zat. Interessant en een mooie uidaging, maar dat vreet tijd en leidt mij persoonlijk veel af van de rest van de opleiding.

Bedrijfsbezoeken
Overtreffen mijn verwachtingen. Elk bedrijfsbezoek voegt een eigen dimensie toe aan het verhaal, en van elk bezoek - van Raam, Kupan, Ordina en anderen - steek je een hoop op van hoe praktische problemen worden opgelost en welke mindset er nodig is om een goed bedrijf op te bouwen.","Smart Start en onderzoek / data-analyse (Witek ten Hove)
Smart Technology Lessons inclusief Robotica, Arduino IoT Workshop en 3D printing. (Franz Maurer)
Smart Connection - Informatica Actief (Deny Smeets)

Afzonderlijk vallen de trajecten wel mee, maar samen is het gezien het feit dat we eigenlijk maar een halve week hebben en we nu veel bedrijfsbezoeken hebben gewoon te veel. Drie leertrajecten tegelijk is erg veel.

Project
Het voelt minder als studeren om voor een organisatie bezig te zijn, maar ongemerkt gaat er toch een hoop tijd in zitten en dat gaat bij mij ten koste van de studielast van de andere onderdelen. Daar zal ik eerlijk toegeven dat ik behoorlijk achterloop. Het feit dat meerdere bedrijven iets van mij verwachten weegt zwaarder dan het feit dat er webcolleges zijn die ik nog een keer zou moeten doen, zo denk ik.

Bedrijfsbezoeken 
Ik heb begrepen dat de bedrijfsbezoeken vooral in het begin van de minor zijn. Dat hoop ik maar, want steeds die dagen weg is in zo&#039;n drukke tijd toch vervelend. Ik ga wel, zou ze niet willen missen, maar ik moet de tijd toch ergens vandaan halen.","Ik heb een uur lang de vragen uitgebreid ingevuld, mijn mening onderbouwd en genuanceerde antwoorden gegeven, en toen ik op submit klikte deed de pagina er verdacht lang over. Ik heb snel nog de eerste twee vragen kunnen kopiëren, de rest kon ik niet meer terugkrijgen toen ik een soort time-out fout kreeg. Het is intussen half 10 geweest en ik heb nog meer te doen voor morgen (Delft), dus ik zie het niet meer zitten de rest opnieuw in te vullen. Jammer voor beiden - ik had graag mijn mening laten horen en ik denk dat jullie er ook wat aan gehad hadden, maar ik kan het even niet opbrengen. Franz zei dat we het er maandag verder nog over hebben, dus dan laat ik me misschien nog wel horen.

Matthijs",-,-,-,-
7,"De lessen op maandag en vrijdag staan voor een grootdeel in het teken van ICT en IoT. De stof hierover ervaar ik als positief. Helaas zie ik nog weinig terug van het bedrijfskundige (proces optimalisatie, lean). Dit geldt hetzelfde voor de klant en verkoop. Je hoort hier veel over bij de verschillende bedrijfsbezoeken, maar in de les komt hier weinig over terug.","De studiebelasting ligt op dit moment behoorlijk hoog. Ik zie dit ook niet zo snel minder worden. Ik hoop dan ook dat dit niet ten kosten gaat van het project. Het is natuurlijk aan mezelf om dit te bewaken.","Het onderlinge verband tussen de verschillende onderdelen is goed. De theorie en project sluiten vaak weer mooi aan op de bedrijfsbezoeken. Je ziet dat binnen de bedrijven, Smart Industry een belangrijk aspect is.","De opbouw van de opleiding in samenwerking met de verschillende bedrijven. De aspecten komen vaak terug bij de bedrijfsbezoeken. Daarnaast sluit de theorie goed aan op de vraag vanuit projecten en praktijk.","1) Ik zal voor mezelf beter de planning moeten bewaken en anticiperen wanneer dit fout dreigt te lopen. 
2) De drie docenten bekijken het veel vanuit de theorie. Ik zou dit graag aangevuld zien worden met een docent, die echt uit de praktijk komt. 
3) Ik mis het bedrijfskundige (nog) in de minor. Je hoort hier bij de verschillende bedrijfsbezoeken wel veel over. Het verkorte van doorlooptijden en elimineren van verspillingen.","Naast bedrijfskunde, mis ik ook de klant (verkoop). Door Smart Industry veranderen deze onderdelen ook mee. Wat betekent dit voor de klant?","Het opleveren van een goed project, waar zowel de opdrachtgever, school en ikzelf volledig achterstaan. Daarbij hoort dus ook een goede presentatie op het einde van dit semester."
8,"Met ongeveer een 8 op een schaal van 1-10","De studiebelasting voor het project kan best hoog uitpakken. De andere onderdelen zouden hieronder kunnen lijden.",.,"Er hangt een goede sfeer vind ik persoonlijk. Nog nooit heb ik mezelf zo verbonden gevoeld met een klas. Daarnaast zijn er veel bezoeken naar andere organisaties en bedrijven wel interessant. Er is veel content. Zo krijgen we te horen hoe  technologie in de praktijk wordt toegepast.","-Geen opmerkingen over de docenten. Ik vind het wel goed zo.
-Zelf zou ik meer vragen kunnen stellen over de producten en concepten die worden behandeld. Soms heb ik wel vragen die de spijker op de kop slaat, maar dan kies ik er toch voor om mijn mond dicht te houden. De afgelopen twee weken kak ik ook snel in. Ik moet aan het werk blijven.
-Het is mij opgevallen dat de studenten van de HHS projecten met een groep van drie studenten evenredig uitvoeren (denk ik). Daarentegen voeren wij projecten grotendeels zelf uit. Wij maken ook deel uit van andere projecten, maar zo voelt dat niet geheel aan.
-Verder zou de minor ook meer kunnen worden gepromoot bij technische studenten, zodat wij daarvan ook meer zien en ervan kunnen leren. Hiermee zou het ook mogelijk kunnen zijn om technisch ingewikkelde projecten beter uit te kunnen voeren. Dan zou de spanning en druk iets lager kunnen zitten denk ik. 
De presentatie van de studenten aan (potentiële) opdrachtgevers is dan voor de volgende keer ook iets beter.","Ik denk dat ik aan het eind van de minor veel meer een idee heb van wat er nog zal passen. Dit zal ik dan niet gehad hebben maar misschien kan dat dan van pas komen voor in de toekomst.","Meer participeren in de activiteiten door vragen te stellen."
9,"Het aantal contacturen komt redelijk overeen, de hoeveelheiduren valt tegen. De bedrijfsbezoeken etc. is een beetje teveel, houdt weinig vrije tijd over.","studiebelasting school is prima, studiebelasting project etc. is best veel. Bedrijfsbezoeken is okay.","Het onderlinge verband is okay, alleen sommige dingen hebben geen toepassing op mij","Het netwerken en de opdracht, misschien het lesmateriaal hier beter op aanpassen.","Eigen participatie meer voorbereiding op het materiaal, docenten de lessen beter op de projecten aansluiten en iets meer voorbereiding in stof en activiteiten.","Meer informatie over vele onderwerpen die met smart industrie te maken hebben.","Ik ga me de komende tijd ook verdiepen in andere onderwerpen en met name de informatica-actief in me opnemen."
10,"redelijk, ik zit zelf niet zo in de bedrijfskunde dus dat zou voor mij meer relevant zijn.","Smart Start doe ik niet aan mee, kan daar dus geen oordeel over hebben, voor Smart tech is de studiebelasting redelijk, naast mijn baan is het te doen.","De verbanden zijn helder aangezien je ICT, bedrijfskunde en techniek nodig hebt voor Smart Industry.","De bedrijfsbezoeken zijn heel goed daar leer je veel van en bij Smart Tech leer je goed om te gaan met technologie en je leert een goed IoT device ontwerpen.","(1) de deadlines en de opdracht deadlines beter in de agenda zetten, vooral in de associat degree is het belangrijk dat alles op een rij staat en je niet onnodig tijd spendeerd aan opzoeken van opdrachten.
(2) docenten beheersen de stof goed en kunnen dit overbrengen.
(3) De technishe stof is voor mij zelf niet altijd relevant aangezien ik de stof al beheers. De activiteiten zijn goed en zeker leerzaam.","Een betere planning en een gevulde agenda.","Mijn medestudenten helpen bij de technische onderdelen."
