Wat is je vooropleiding?;Wat zijn je intenties;Op welke manier werd je op deze minor geattendeerd?;Wat heb je al gedaan ter voorbereiding op deze minor?
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;Ik heb met experts (bijv. docenten) gesproken
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een poster;"Ik heb met experts (bijv. docenten) gesproken
Ik heb de documentatie op deze site doorgenomen
Anders"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb online gezocht naar documentatie over het thema
Ik heb de documentatie op deze site doorgenomen"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;Ik heb online gezocht naar documentatie over het thema
VWO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb de documentatie op deze site doorgenomen"
VWO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb de documentatie op deze site doorgenomen
Anders"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb in mijn omgeving gezocht naar voorbeelden"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken"
MBO;Ik ben van plan voldoende te doen om in aanmerking te komen voor de studiepunten;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb met experts (bijv. docenten) gesproken
Ik heb in mijn omgeving gezocht naar voorbeelden
Ik heb de documentatie op deze site doorgenomen
Anders"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb online gezocht naar documentatie over het thema
Ik heb de documentatie op deze site doorgenomen
Anders"
VWO;Ik ben van plan voldoende te doen om in aanmerking te komen voor de studiepunten;Via een poster;Ik heb met experts (bijv. docenten) gesproken
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb de documentatie op deze site doorgenomen
Anders"
VWO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb de documentatie op deze site doorgenomen
Anders"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;Anders
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een bekende;Ik heb de documentatie op deze site doorgenomen
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb in mijn omgeving gezocht naar voorbeelden
Ik heb de documentatie op deze site doorgenomen"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb de documentatie op deze site doorgenomen"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;Ik heb online gezocht naar documentatie over het thema
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb met experts (bijv. docenten) gesproken
Ik heb in mijn omgeving gezocht naar voorbeelden"
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb in mijn omgeving gezocht naar voorbeelden"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de website van mijn opleiding;Ik heb de documentatie op deze site doorgenomen
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Anders;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;Ik heb nog geen acties ondernomen en laat me verrassen
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via de Kies op Maat site;"Ik heb online gezocht naar documentatie over het thema
Ik heb video's rondom het thema bekeken
Ik heb de documentatie op deze site doorgenomen"
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een poster;Ik heb in mijn omgeving gezocht naar voorbeelden
HAVO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een docent / studiebegeleider;"Ik heb online gezocht naar documentatie over het thema
Ik heb de documentatie op deze site doorgenomen"
MBO;Ik ga alle aangeboden faciliteiten benutten voor een optimaal resultaat;Via een bekende;Ik heb in mijn omgeving gezocht naar voorbeelden
